Pair,Correlation,Combined Market Cap,Combined Change %
ETH-DOGE,0.8022,$447.87B,-13.87
AVAX-ETC,0.8016,$19.18B,-15.22
DOGE-WBTC,0.8014,$58.63B,-10.81
APT-POL,0.8007,$9.00B,-22.24
DOGE-DOT,0.7994,$56.54B,-20.32
ICP-FET,0.799,$8.34B,-15.89
TON-ICP,0.7962,$19.55B,-10.3
APT-ARB,0.7961,$8.17B,-23.02
NEAR-RENDER,0.7937,$9.87B,-21.82
TON-POL,0.793,$18.70B,-12.16
LINK-AAVE,0.7922,$19.18B,44.77
ADA-FET,0.791,$34.78B,-18.01
APT-ETC,0.7882,$8.86B,-24.16
ETH-ICP,0.7843,$406.79B,-8.23
SHIB-ETC,0.784,$16.71B,-16.17
SHIB-DOT,0.783,$23.32B,-16.77
POL-VET,0.7822,$7.83B,-1.29
DOGE-PEPE,0.7807,$53.41B,-16.06
NEAR-APT,0.7772,$11.13B,-28.63
BCH-ARB,0.7766,$12.07B,-13.8
ETH-NEAR,0.7762,$408.07B,-16.48
TON-ETC,0.7761,$18.56B,-14.08
DOT-FET,0.7721,$13.97B,-20.26
SOL-SUI,0.7696,$101.58B,0.44
POL-FET,0.7673,$7.50B,-17.74
ADA-APT,0.7668,$36.28B,-22.51
BCH-NEAR,0.7668,$15.03B,-19.42
TRX-VET,0.766,$26.25B,20.29
AVAX-LTC,0.766,$22.89B,-2.85
ETH-SHIB,0.7638,$414.66B,-10.32
ADA-UNI,0.762,$39.51B,-3.84
ETH-POL,0.7606,$405.94B,-10.09
XRP-HBAR,0.7599,$134.06B,67.37
TON-ARB,0.7598,$17.87B,-12.93
ETH-UNI,0.7587,$410.03B,0.36
UNI-NEAR,0.7575,$14.36B,-9.96
RENDER-TAO,0.757,$7.20B,-18.29
XRP-LTC,0.7568,$131.00B,23.56
DOGE-ETC,0.7568,$49.93B,-19.72
BNB-BCH,0.7564,$109.93B,-2.84
WBTC-ETC,0.7561,$16.56B,-8.95
LINK-NEAR,0.7538,$20.47B,0.04
BTC-ETC,0.7533,$1.89T,-8.95
CRO-ETC,0.7518,$8.03B,-15.89
ADA-TON,0.7506,$45.98B,-12.43
AVAX-APT,0.7504,$20.18B,-21.52
STETH-APT,0.7502,$37.19B,-18.22
ETH-ADA,0.7496,$433.22B,-10.36
ADA-XLM,0.7484,$41.91B,-22.17
AAVE-ARB,0.7482,$8.15B,23.55
DOGE-STETH,0.7481,$78.25B,-13.78
AVAX-UNI,0.7471,$23.41B,-2.85
AVAX-AAVE,0.7471,$20.16B,25.04
WEETH-APT,0.7471,$11.42B,-17.99
TON-DOT,0.747,$25.17B,-14.67
TON-NEAR,0.7453,$20.83B,-18.55
DOGE-WEETH,0.7447,$52.48B,-13.55
WEETH-ICP,0.7444,$11.40B,-7.91
WBTC-STETH,0.7423,$44.89B,-3.0
ETH-TAO,0.7422,$405.40B,-12.95
STETH-ICP,0.7421,$37.17B,-8.14
NEAR-TAO,0.7412,$9.73B,-23.27
STETH-DOT,0.7406,$42.79B,-12.51
ETH-BCH,0.7403,$410.70B,-9.1
POL-XMR,0.7402,$7.65B,3.66
DOT-WEETH,0.7401,$17.02B,-12.28
TON-FET,0.7398,$18.06B,-15.88
ETH-APT,0.7393,$406.81B,-18.31
ETH-TON,0.7389,$416.51B,-8.23
FET-ARB,0.7383,$6.67B,-18.52
LTC-ICP,0.7379,$12.55B,-1.72
BNB-TRX,0.7374,$123.59B,17.75
VET-XMR,0.7372,$7.35B,16.39
BTC-STETH,0.7357,$1.92T,-3.01
SHIB-ARB,0.7354,$16.02B,-15.03
WBTC-WEETH,0.7333,$19.12B,-2.77
SHIB-STETH,0.7331,$45.04B,-10.23
ICP-VET,0.733,$8.68B,0.57
ADA-BCH,0.7315,$40.18B,-13.29
DOT-APT,0.7301,$15.47B,-24.76
LINK-ICP,0.7298,$19.19B,8.29
SOL-RENDER,0.7289,$93.03B,-18.97
LTC-NEAR,0.7284,$13.84B,-9.96
ADA-SHIB,0.7283,$44.13B,-14.52
DOGE-ARB,0.7266,$49.24B,-18.58
BTC-WEETH,0.7265,$1.89T,-2.77
WEETH-NEAR,0.7252,$12.68B,-16.16
ICP-XMR,0.7248,$8.49B,5.52
LTC-POL,0.7234,$11.70B,-3.57
TAO-ARB,0.7232,$6.77B,-17.66
DOT-BCH,0.7231,$19.37B,-15.54
DOGE-ADA,0.7215,$77.35B,-18.07
DOT-UNI,0.7192,$18.70B,-6.09
DOGE-LTC,0.7186,$53.64B,-7.35
SHIB-WEETH,0.7182,$19.27B,-10.0
WBTC-WETH,0.7169,$22.35B,-2.91
SOL-BCH,0.7164,$98.20B,-16.57
STETH-NEAR,0.7162,$38.45B,-16.39
XRP-XLM,0.7158,$133.93B,5.22
ETC-FET,0.7155,$7.36B,-19.66
SOL-TON,0.7146,$104.00B,-15.7
SOL-ICP,0.7146,$94.28B,-15.71
ETC-TAO,0.7146,$7.46B,-18.81
APT-FET,0.7143,$8.36B,-25.96
OM-XMR,0.7129,$7.10B,13.89
BCH-VET,0.7128,$12.59B,-0.3
ETH-AVAX,0.7124,$417.12B,-9.37
WETH-APT,0.7124,$14.65B,-18.13
SOL-CRO,0.7109,$93.47B,-17.51
DOGE-BCH,0.7105,$54.83B,-16.81
BTC-WETH,0.7098,$1.89T,-2.92
STETH-POL,0.7097,$36.32B,-10.0
DOT-TAO,0.7089,$14.07B,-19.4
WEETH-POL,0.7088,$10.55B,-9.77
BNB-CRO,0.7075,$105.20B,-3.78
WEETH-TAO,0.7068,$10.01B,-12.63
ICP-AAVE,0.7067,$9.82B,26.18
BCH-TAO,0.7064,$12.36B,-15.89
WETH-ICP,0.7055,$14.63B,-8.05
APT-XMR,0.7052,$8.51B,-4.56
UNI-WEETH,0.7049,$14.64B,0.68
LINK-ARB,0.7048,$17.51B,5.66
ADA-WEETH,0.7044,$37.83B,-10.03
DOGE-WETH,0.7036,$55.72B,-13.69
ADA-STETH,0.7028,$63.60B,-10.26
ETH-FET,0.7025,$405.30B,-13.81
BNB-VET,0.7023,$104.87B,8.9
STETH-TAO,0.7016,$35.78B,-12.86
ICP-TAO,0.7016,$8.44B,-15.03
BCH-WEETH,0.7014,$15.31B,-8.77
SHIB-LTC,0.7011,$20.42B,-3.8
BCH-APT,0.7008,$13.76B,-21.25
STETH-BCH,0.7002,$41.08B,-9.0
LINK-POL,0.6982,$18.34B,6.43
STETH-UNI,0.6975,$40.41B,0.45
BCH-XMR,0.697,$12.41B,4.66
TON-BCH,0.6969,$23.46B,-11.17
BTC-BCH,0.6965,$1.89T,-6.03
SHIB-WETH,0.6949,$22.50B,-10.14
BCH-FET,0.6938,$12.26B,-16.75
WBTC-BCH,0.6935,$21.46B,-6.03
LINK-HBAR,0.6932,$24.96B,60.69
DOT-WETH,0.6928,$20.25B,-12.42
POL-TAO,0.692,$7.60B,-16.89
XLM-LTC,0.6894,$18.21B,-11.46
TON-STETH,0.6878,$46.89B,-8.14
ICP-RENDER,0.6877,$8.58B,-13.57
XRP-ADA,0.6869,$154.71B,12.84
SOL-POL,0.6866,$93.43B,-17.56
NEAR-AAVE,0.6854,$11.11B,17.93
DOGE-TAO,0.6851,$49.53B,-20.67
NEAR-XMR,0.685,$9.78B,-2.73
SHIB-PEPE,0.6847,$20.19B,-12.51
LTC-ARB,0.6844,$10.88B,-4.35
XLM-DOT,0.6836,$21.11B,-24.42
WEETH-AAVE,0.6835,$11.39B,28.58
BTC-DOT,0.683,$1.89T,-9.54
LTC-ETC,0.6816,$11.57B,-5.49
BCH-RENDER,0.6815,$12.50B,-14.43
BNB-APT,0.6811,$106.03B,-12.05
SOL-NEAR,0.6804,$95.57B,-23.95
SOL-ETC,0.6801,$93.29B,-19.49
DOGE-XLM,0.6792,$56.57B,-25.69
BNB-POL,0.6786,$105.17B,-3.83
APT-AAVE,0.6784,$9.84B,16.1
WBTC-DOT,0.6776,$23.17B,-9.54
AAVE-ETC,0.6775,$8.84B,22.4
WETH-UNI,0.6762,$17.88B,0.54
TON-WEETH,0.676,$21.12B,-7.91
AVAX-FET,0.6756,$18.68B,-17.02
BNB-ICP,0.6754,$106.01B,-1.97
TON-SHIB,0.6733,$27.41B,-12.39
WETH-AAVE,0.673,$14.63B,28.43
SHIB-WBTC,0.6727,$25.41B,-7.26
DOT-CRO,0.672,$14.64B,-16.48
BTC-SHIB,0.6716,$1.90T,-7.26
ETH-SOL,0.6714,$491.24B,-13.63
SHIB-CRO,0.6706,$16.88B,-14.2
STETH-AAVE,0.6704,$37.16B,28.34
SOL-APT,0.6703,$94.30B,-25.78
BNB-XMR,0.6701,$104.68B,13.85
BNB-SOL,0.6693,$190.47B,-7.37
UNI-APT,0.6692,$13.09B,-11.79
CRO-ARB,0.6689,$7.34B,-14.74
WETH-NEAR,0.6684,$15.92B,-16.3
HBAR-LTC,0.6669,$18.33B,50.69
BCH-WETH,0.6659,$18.55B,-8.91
ETH-AAVE,0.6645,$406.78B,28.25
WBTC-ARB,0.6643,$15.87B,-7.8
TAO-VIRTUAL,0.6638,$6.90B,103.37
BTC-ARB,0.6637,$1.89T,-7.8
WETH-POL,0.6636,$13.78B,-9.91
STETH-CRO,0.6635,$36.35B,-9.95
DOT-RENDER,0.6634,$14.20B,-17.94
AVAX-HBAR,0.6632,$25.94B,40.96
WEETH-FET,0.6629,$9.91B,-13.49
LINK-DOT,0.6609,$24.81B,3.92
ETH-CRO,0.6604,$405.97B,-10.04
SUI-BCH,0.6601,$21.04B,4.97
DOGE-NEAR,0.66,$52.20B,-24.19
ADA-WETH,0.6596,$41.06B,-10.17
TON-APT,0.658,$19.56B,-20.38
ADA-LINK,0.6572,$45.62B,6.16
UNI-XMR,0.6566,$11.74B,14.11
BCH-LTC,0.656,$16.47B,-2.58
SOL-ADA,0.6556,$120.71B,-17.83
AVAX-BCH,0.654,$24.08B,-12.31
BTC-CRO,0.6539,$1.89T,-6.98
BNB-ETC,0.6539,$105.03B,-5.75
DOGE-CRO,0.6535,$50.10B,-17.75
WETH-TAO,0.6535,$13.25B,-12.77
WEETH-CRO,0.6535,$10.58B,-9.71
SOL-DOT,0.653,$99.90B,-20.08
WBTC-CRO,0.6524,$16.73B,-6.97
DOGE-ICP,0.6513,$50.91B,-15.95
BTC-SOL,0.6501,$1.97T,-10.57
SUI-ICP,0.6495,$17.13B,5.84
BTC-POL,0.6493,$1.89T,-7.03
DOGE-POL,0.649,$50.07B,-17.8
SHIB-XLM,0.649,$23.35B,-22.14
LTC-CRO,0.6489,$11.74B,-3.52
DOGE-SOL,0.6488,$135.37B,-21.35
STETH-FET,0.6468,$35.68B,-13.72
ADA-TAO,0.6465,$34.88B,-17.15
AVAX-WEETH,0.6462,$21.73B,-9.04
POL-CRO,0.6459,$8.17B,-13.97
BCH-CRO,0.6458,$12.93B,-12.98
WBTC-POL,0.6457,$16.70B,-7.03
ADA-RENDER,0.6442,$35.01B,-15.69
ICP-CRO,0.6438,$9.01B,-12.11
SOL-WBTC,0.6429,$102.00B,-10.57
SHIB-POL,0.6426,$16.85B,-14.25
SOL-TAO,0.6418,$92.90B,-20.43
TON-RENDER,0.6418,$18.30B,-13.57
DOGE-TON,0.6412,$60.63B,-15.94
SUI-NEAR,0.6391,$18.41B,-2.41
LINK-UNI,0.6385,$22.43B,16.88
DOGE-AVAX,0.6383,$61.25B,-17.08
TON-XMR,0.6383,$18.21B,5.52
UNI-VET,0.6371,$11.93B,9.16
UNI-AAVE,0.6369,$13.07B,34.77
APT-CRO,0.6362,$9.03B,-22.19
AAVE-POL,0.6361,$8.98B,24.32
AVAX-STETH,0.6336,$47.50B,-9.28
SHIB-MNT,0.6332,$16.81B,12.93
BNB-TON,0.6331,$115.73B,-1.97
TON-WETH,0.6328,$24.35B,-8.05
BTC-ICP,0.6309,$1.89T,-5.17
ETC-XMR,0.6307,$7.51B,1.74
WETH-CRO,0.63,$13.82B,-9.86
UNI-FET,0.629,$11.59B,-7.3
BTC-ADA,0.6289,$1.92T,-7.29
WBTC-ICP,0.6281,$17.55B,-5.17
SHIB-ICP,0.6264,$17.70B,-12.39
ADA-WBTC,0.6261,$43.98B,-7.29
ADA-AAVE,0.6261,$36.26B,24.05
POL-RENDER,0.6261,$7.73B,-15.43
SOL-XLM,0.6248,$99.93B,-25.45
SOL-ARB,0.6247,$92.60B,-18.34
DOGE-UNI,0.6243,$54.16B,-7.36
WBTC-APT,0.6243,$17.56B,-15.25
BTC-APT,0.623,$1.89T,-15.25
ETH-MNT,0.6225,$405.90B,17.09
XRP-DOT,0.6221,$133.90B,10.59
FET-VIRTUAL,0.622,$6.80B,102.51
STETH-MNT,0.6207,$36.28B,17.19
ADA-CRO,0.6204,$35.45B,-14.24
DOT-AAVE,0.6204,$15.45B,21.81
HBAR-POL,0.62,$14.76B,40.24
TON-UNI,0.6188,$22.79B,-1.71
HYPE-FET,0.6175,$12.41B,-25.3
ADA-SUI,0.6174,$43.56B,3.71
APT-RENDER,0.6173,$8.60B,-23.65
WETH-FET,0.617,$13.15B,-13.63
XRP-AVAX,0.6148,$138.62B,13.83
LINK-APT,0.6148,$19.21B,-1.79
XMR-ARB,0.614,$6.82B,2.89
BNB-VIRTUAL,0.6132,$104.47B,116.42
SUI-FET,0.6131,$15.64B,0.26
ADA-XMR,0.6127,$34.93B,3.4
SOL-STETH,0.6119,$121.62B,-13.54
SOL-LTC,0.6111,$97.00B,-7.12
AVAX-VET,0.6102,$19.02B,-0.57
TON-SUI,0.6101,$26.84B,5.84
HBAR-ICP,0.6086,$15.60B,42.09
SOL-WEETH,0.6072,$95.85B,-13.31
APT-VIRTUAL,0.6059,$8.31B,98.01
BTC-XLM,0.6056,$1.89T,-14.91
WEETH-MNT,0.6042,$10.51B,17.42
WBTC-XLM,0.6035,$23.20B,-14.91
SOL-FET,0.6029,$92.80B,-21.29
ETC-MNT,0.6025,$7.96B,11.24
SUI-TAO,0.6021,$15.74B,1.12
BTC-PEPE,0.6018,$1.89T,-5.28
SOL-UNI,0.6017,$97.53B,-7.12
HBAR-VET,0.6012,$14.45B,52.97
BTC-NEAR,0.6009,$1.89T,-13.42
WBTC-UNI,0.6006,$20.79B,3.42
WBTC-PEPE,0.6006,$20.04B,-5.28
TON-CRO,0.5998,$18.73B,-12.11
XLM-NEAR,0.5998,$16.77B,-28.29
LINK-ETC,0.5997,$18.20B,4.51
XLM-POL,0.5995,$14.63B,-21.91
SUI-DOT,0.5982,$22.75B,1.47
WBTC-NEAR,0.5975,$18.83B,-13.41
ADA-HBAR,0.5968,$42.04B,39.97
AVAX-SHIB,0.5965,$28.03B,-13.53
BNB-UNI,0.5962,$109.26B,6.62
SUI-ETC,0.5961,$16.14B,2.06
BTC-UNI,0.5959,$1.89T,3.42
SOL-XMR,0.5953,$92.95B,0.12
AVAX-XMR,0.595,$18.83B,4.38
APT-VET,0.5943,$8.70B,-9.51
AVAX-TON,0.5941,$29.88B,-11.44
XLM-ICP,0.5934,$15.48B,-20.05
BTC-TON,0.5924,$1.90T,-5.17
SHIB-UNI,0.5902,$20.94B,-3.8
BNB-ARB,0.59,$104.34B,-4.61
HBAR-NEAR,0.5898,$16.89B,33.85
SHIB-NEAR,0.5896,$18.98B,-20.64
SUI-POL,0.5884,$16.28B,3.98
NEAR-VET,0.5874,$9.97B,-7.68
BTC-LTC,0.5866,$1.89T,3.42
AVAX-WETH,0.5865,$24.97B,-9.19
TON-WBTC,0.5865,$27.26B,-5.17
TON-XLM,0.5859,$25.20B,-20.04
LINK-LTC,0.5857,$21.91B,16.88
BTC-AVAX,0.585,$1.90T,-6.31
BNB-SUI,0.585,$113.31B,14.17
LTC-APT,0.585,$12.57B,-11.79
FET-XMR,0.584,$7.01B,-0.06
SOL-WETH,0.5837,$99.08B,-13.45
AVAX-WBTC,0.5821,$27.88B,-6.3
TRX-XMR,0.5811,$26.07B,25.24
XLM-CRO,0.5806,$14.67B,-21.85
TON-MNT,0.5792,$18.66B,15.02
WBTC-LTC,0.5792,$20.27B,3.42
UNI-TAO,0.5765,$11.69B,-6.44
RENDER-ARB,0.575,$6.90B,-16.2
SUI-APT,0.5746,$17.15B,-4.24
UNI-LTC,0.5738,$15.80B,6.87
ETH-PEPE,0.5725,$409.28B,-8.34
WETH-MNT,0.5725,$13.75B,17.28
DOT-XMR,0.5716,$14.12B,1.15
HBAR-DOT,0.5712,$21.23B,37.72
USDT-WBTC,0.5705,$151.59B,-0.08
ETH-RENDER,0.5696,$405.54B,-11.5
XRP-POL,0.5696,$127.43B,13.11
USDC-WBTC,0.569,$56.07B,0.06
BNB-STETH,0.5688,$133.35B,0.19
APT-TAO,0.5686,$8.46B,-25.11
DOGE-FET,0.5685,$49.43B,-21.53
ETH-LTC,0.5681,$409.51B,0.36
ETC-RENDER,0.5672,$7.59B,-17.35
POL-OM,0.5647,$7.59B,-3.8
USDT-BTC,0.5646,$2.02T,-0.09
MNT-ARB,0.5646,$7.27B,12.39
ADA-VET,0.564,$35.11B,-1.56
USDT-WETH,0.5636,$148.67B,-2.97
SHIB-TAO,0.5635,$16.31B,-17.12
BTC-USDC,0.5633,$1.93T,0.06
XLM-APT,0.563,$15.50B,-30.13
LINK-FET,0.5629,$17.70B,2.71
TON-OM,0.5619,$18.15B,-1.94
ETH-SUI,0.5614,$414.09B,7.91
WEETH-VIRTUAL,0.5604,$9.86B,110.49
HYPE-TAO,0.558,$12.51B,-24.44
SOL-AVAX,0.5574,$104.62B,-16.84
USDC-WETH,0.5567,$53.16B,-2.82
SUI-UNI,0.5567,$20.37B,14.43
BNB-WEETH,0.5564,$107.58B,0.42
USDT-STETH,0.5561,$171.21B,-3.06
STETH-VIRTUAL,0.5557,$35.63B,110.25
AVAX-XLM,0.5548,$25.82B,-21.18
UNI-CRO,0.5538,$12.26B,-3.52
ETH-BNB,0.5525,$502.97B,0.1
SUI-ARB,0.5523,$15.45B,3.21
CRO-MNT,0.5518,$8.13B,13.21
VET-ARB,0.5509,$7.00B,-2.07
XLM-FET,0.5504,$14.00B,-25.63
XRP-ICP,0.5502,$128.28B,14.96
LINK-VET,0.5502,$18.04B,19.16
USDC-STETH,0.5491,$75.69B,-2.91
XRP-LINK,0.5477,$137.64B,33.56
ICP-VIRTUAL,0.5463,$8.29B,108.09
WETH-VIRTUAL,0.546,$13.09B,110.34
BNB-WETH,0.5459,$110.82B,0.28
BNB-TAO,0.5459,$104.63B,-6.7
DOGE-APT,0.5451,$50.93B,-26.02
NEAR-CRO,0.5448,$10.30B,-20.36
DOGE-RENDER,0.5441,$49.67B,-19.21
SHIB-BCH,0.5423,$21.61B,-13.26
SOL-VET,0.5415,$93.13B,-4.83
TON-LTC,0.5414,$22.27B,-1.71
XRP-NEAR,0.5407,$129.57B,6.72
AVAX-CRO,0.5395,$19.35B,-13.25
TAO-XMR,0.5387,$7.11B,0.8
TON-VIRTUAL,0.5365,$18.01B,108.09
XLM-ETC,0.5365,$14.50B,-23.83
AAVE-FET,0.5363,$8.34B,20.6
WEETH-RENDER,0.5353,$10.15B,-11.17
USDT-WEETH,0.534,$145.44B,-2.83
VET-OM,0.5326,$7.29B,8.93
BNB-ADA,0.5314,$132.45B,-4.1
STETH-RENDER,0.5309,$35.92B,-11.4
LTC-FET,0.5305,$11.07B,-7.3
SUI-VIRTUAL,0.5303,$15.59B,124.23
RENDER-WBT,0.5273,$7.19B,-5.63
BNB-NEAR,0.5271,$107.30B,-10.22
USDC-WEETH,0.5268,$49.92B,-2.68
LTC-VET,0.5261,$11.40B,9.16
DOT-MNT,0.5258,$14.57B,10.65
BNB-DOT,0.5254,$111.64B,-6.35
AVAX-RENDER,0.5246,$18.92B,-14.7
XLM-ARB,0.5246,$13.81B,-22.68
BTC-TAO,0.5235,$1.89T,-9.89
AVAX-TAO,0.5233,$18.78B,-16.16
USDT-ETH,0.521,$540.83B,-3.15
XRP-SHIB,0.5209,$136.15B,12.88
BCH-VIRTUAL,0.5209,$12.20B,107.22
HYPE-RENDER,0.5207,$12.65B,-22.98
RENDER-XMR,0.5198,$7.25B,2.26
WBTC-TAO,0.5196,$16.16B,-9.89
LTC-RENDER,0.5188,$11.30B,-4.98
RENDER-VIRTUAL,0.5182,$7.04B,104.83
HBAR-XLM,0.518,$21.26B,32.35
CRO-XMR,0.518,$7.68B,3.71
SUI-XMR,0.5175,$15.79B,21.66
ETH-XLM,0.517,$412.44B,-17.97
APT-OM,0.5169,$8.45B,-12.02
ETH-USDC,0.5168,$445.31B,-3.0
STETH-PEPE,0.5167,$39.66B,-8.25
ETH-LINK,0.5149,$416.15B,10.36
DOT-VET,0.5146,$14.30B,-3.81
SUI-STETH,0.5134,$44.47B,8.0
BTC-MNT,0.5132,$1.89T,20.15
WBTC-MNT,0.5129,$16.66B,20.16
CRO-TAO,0.5126,$7.63B,-16.83
SUI-WEETH,0.512,$18.70B,8.23
XRP-FET,0.5109,$126.80B,9.39
ICP-OM,0.5105,$8.44B,-1.94
TAO-MNT,0.5096,$7.56B,10.3
XLM-USDS,0.5084,$15.84B,-14.48
ETC-VET,0.5084,$7.69B,-3.21
BCH-PEPE,0.5078,$16.24B,-11.28
PEPE-WEETH,0.5078,$13.89B,-8.02
TRX-BCH,0.5066,$31.32B,8.55
PEPE-ETC,0.5064,$11.34B,-14.2
WETH-PEPE,0.5062,$17.13B,-8.16
LTC-XMR,0.5055,$11.22B,14.11
USDT-ETC,0.5037,$142.88B,-9.0
SHIB-APT,0.5033,$17.72B,-22.47
UNI-RENDER,0.501,$11.83B,-4.98
WETH-RENDER,0.5003,$13.38B,-11.31
USDC-ETC,0.499,$47.37B,-8.86
POL-VIRTUAL,0.4987,$7.44B,106.23
USDT-CRO,0.4975,$143.06B,-7.03
SUI-WETH,0.4975,$21.93B,8.09
STETH-LTC,0.4967,$39.89B,0.45
ETH-VIRTUAL,0.4964,$405.25B,110.16
XRP-DOGE,0.4945,$169.37B,9.33
LTC-WEETH,0.4944,$14.12B,0.68
TRX-OM,0.4931,$26.01B,17.78
XLM-TAO,0.4918,$14.10B,-24.77
USDC-CRO,0.4904,$47.54B,-6.88
NEAR-HYPE,0.4902,$15.18B,-27.97
UNI-PEPE,0.4901,$15.57B,-1.83
HBAR-APT,0.4897,$15.62B,32.02
SOL-OM,0.489,$92.89B,-7.34
ADA-USDE,0.489,$37.25B,-7.45
SOL-SHIB,0.4885,$102.15B,-17.79
CRO-OM,0.4881,$7.62B,-3.75
BTC-FET,0.4862,$1.89T,-10.75
DOT-HYPE,0.4853,$19.52B,-24.09
XRP-APT,0.485,$128.30B,4.89
BTC-BNB,0.4836,$1.98T,3.16
WBTC-FET,0.483,$16.06B,-10.75
SUI-LTC,0.4815,$19.85B,14.43
XRP-ARB,0.4792,$126.60B,12.33
BNB-WBTC,0.4792,$113.73B,3.16
MNT-OM,0.4792,$7.55B,23.39
BNB-OM,0.4791,$104.62B,6.39
NEAR-MNT,0.4784,$10.23B,6.77
NEAR-OM,0.4777,$9.72B,-10.19
AVAX-USDE,0.4773,$21.16B,-6.46
HBAR-ARB,0.4772,$13.93B,39.46
ARB-VIRTUAL,0.4772,$6.61B,105.46
LINK-WEETH,0.4769,$20.76B,10.69
VET-FET,0.4768,$7.20B,-5.01
STETH-XLM,0.4761,$42.82B,-17.88
LINK-BCH,0.476,$23.10B,7.42
POL-MNT,0.476,$8.10B,13.16
LINK-XMR,0.4755,$17.85B,24.11
BNB-FET,0.4752,$104.53B,-7.55
AAVE-USDE,0.4749,$10.81B,31.15
SOL-PEPE,0.4742,$96.78B,-15.82
XLM-USDE,0.4735,$16.47B,-15.07
USDT-SHIB,0.4729,$151.74B,-7.31
AVAX-SUI,0.4725,$27.46B,4.7
DOGE-SUI,0.4724,$58.21B,0.2
USDT-ARB,0.4714,$142.19B,-7.85
SUI-CRO,0.4707,$16.31B,4.03
HBAR-UNI,0.4707,$18.85B,50.68
USDC-SHIB,0.4695,$56.22B,-7.17
DOGE-MNT,0.4691,$50.03B,9.38
SHIB-FET,0.4689,$16.21B,-17.97
XLM-RENDER,0.4689,$14.23B,-23.31
XLM-WEETH,0.4672,$17.05B,-17.65
SOL-VIRTUAL,0.467,$92.74B,102.69
BNB-RENDER,0.4667,$104.77B,-5.24
USDC-ARB,0.4654,$46.68B,-7.71
ETC-VIRTUAL,0.4649,$7.30B,104.31
CRO-VET,0.4632,$7.87B,-1.24
SUI-VET,0.4599,$15.98B,16.71
TON-AAVE,0.4597,$19.54B,26.18
TON-VET,0.4594,$18.40B,0.57
HBAR-FET,0.4589,$14.12B,36.51
DOGE-HYPE,0.4574,$54.98B,-25.36
ADA-VIRTUAL,0.4571,$34.72B,105.96
